brand,processor_brand,processor,processor_gnrtn,ram,ssd,hdd,os,os_bit,graphic_card_gb,warranty,msoffice,Price,rating,Number of Ratings,Number of Reviews
DELL,Intel,Core i3,11th,4 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,43970,3 stars,16,0
HP,Intel,Core i3,11th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,No,39790,3 stars,40,3
ASUS,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,35590,3 stars,12,1
HP,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,36490,3 stars,1146,175
ASUS,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,38990,4 stars,1850,216
ASUS,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,33990,3 stars,43,7
DELL,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,43400,4 stars,231,26
ASUS,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,32-bit,0 GB,No warranty,No,24990,4 stars,502,93
HP,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,40750,4 stars,1096,116
DELL,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,43000,4 stars,313,35
ASUS,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,No warranty,No,38000,4 stars,7,0
DELL,Intel,Core i3,11th,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,37990,3 stars,265,46
HP,Intel,Core i3,7th,8 GB,0 GB,1024 GB,Windows,64-bit,2 GB,No warranty,No,49279,4 stars,38,3
Lenovo,Intel,Core i3,10th,8 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,38999,3 stars,7,2
ASUS,Intel,Core i3,11th,8 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,41500,3 stars,4,0
acer,Intel,Core i3,11th,4 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,36999,3 stars,0,0
DELL,Intel,Core i3,11th,8 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,42900,3 stars,0,0
ASUS,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,32-bit,0 GB,No warranty,No,21490,3 stars,818,113
DELL,Intel,Core i3,11th,8 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,41480,3 stars,25,4
ASUS,Intel,Core i3,10th,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,No warranty,No,32990,2 stars,12,0
ASUS,Intel,Core i3,11th,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,No,38680,3 stars,17,1
ASUS,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,32-bit,0 GB,No warranty,No,23990,4 stars,974,170
DELL,Intel,Core i3,10th,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,No warranty,No,40390,3 stars,83,15
ASUS,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,No warranty,No,33990,3 stars,31,6
ASUS,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,32-bit,0 GB,No warranty,No,20490,3 stars,637,91
DELL,Intel,Core i3,10th,8 GB,256 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,41490,5 stars,7,5
DELL,Intel,Core i3,11th,8 GB,256 GB,1024 GB,Windows,64-bit,0 GB,No warranty,No,45490,4 stars,207,16
DELL,Intel,Core i3,11th,8 GB,256 GB,1024 GB,Windows,64-bit,0 GB,No warranty,No,44490,4 stars,844,103
ASUS,Intel,Core i3,11th,8 GB,256 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,41890,4 stars,53,6
DELL,Intel,Core i3,11th,4 GB,256 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,42990,4 stars,62,7
acer,Intel,Core i3,11th,8 GB,256 GB,1024 GB,Windows,64-bit,0 GB,No warranty,No,40990,4 stars,38,2
DELL,Intel,Core i3,11th,8 GB,256 GB,1024 GB,Windows,64-bit,0 GB,1 year,No,48990,4 stars,724,92
DELL,Intel,Core i3,11th,4 GB,256 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,43590,3 stars,0,0
DELL,Intel,Core i3,10th,4 GB,256 GB,1024 GB,Windows,64-bit,0 GB,1 year,No,44690,4 stars,9,0
ASUS,Intel,Core i3,10th,4 GB,256 GB,1024 GB,Windows,64-bit,0 GB,No warranty,No,40990,3 stars,0,0
DELL,Intel,Core i3,11th,4 GB,256 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,43990,3 stars,0,0
